size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
15,13.6875,Kicker,C154,267-6911,4,250,90.3,11.4,23,7.99,0.4,2.57,46,6.47,25,25,500
15,13.6875,Kicker,C158,267-6912,8,250,90.3,11.4,23,7.99,0.4,2.57,46,6.47,25,25,500
15,13.6875,Kicker,C15D4,267-6913,4+4,300,90.3,11.4,23,7.99,0.4,2.57,46,6.47,25,25,500
10,9.1875,Kicker,CVT104,267-6917,4,400,87.2,9.2,32.7,1.3,0.44,0.54,59,1.41,30,25,350
12,11,Kicker,CVT122,267-6918,2,400,87.1,9.8,32.7,2.15,0.52,1.52,50,3.75,24,25,350
12,11,Kicker,CVT124,267-6919,4,400,87.1,9.8,32.7,2.15,0.52,1.52,50,3.75,24,25,350
10,9.1875,Kicker,CVR102,267-6920,2+2,400,83.6,12.73,43.8,0.57,0.84,1.58,44,2.47,25,25,500
10,9.1875,Kicker,CVR104,267-6921,4+4,400,83.6,12.73,43.8,0.57,0.84,1.58,44,2.47,25,25,500
12,11,Kicker,CVR122,267-6922,2+2,400,86.9,12.73,32.6,2.3,0.65,3.87,40,6.05,21,25,500
12,11,Kicker,CVR124,267-6923,4+4,400,86.9,12.73,32.6,2.3,0.65,3.87,40,6.05,21,25,500
15,13.6875,Kicker,CVR152,267-6924,2+2,500,89.2,12.5,24.6,5,0.38,1.43,51,3.43,29,25,500
15,13.6875,Kicker,CVR154,267-6925,4+4,500,89.2,12.5,24.6,5,0.38,1.43,51,3.43,29,25,500
10,9.1875,Kicker,CVX102,267-6926,2+2,600,85.7,15.4,35.4,0.81,0.4,0.27,70,0.67,37,24,500
10,9.1875,Kicker,CVX104,267-6927,4+4,600,85.7,15.4,35.4,0.81,0.4,0.27,70,0.67,37,24,500
12,11.0625,Kicker,CVX122,267-6928,2+2,750,87.1,15.4,28.5,2.04,0.38,0.59,59,1.42,33,20,500
12,11.0625,Kicker,CVX124,267-6929,4+4,750,87.1,15.4,28.5,2.04,0.38,0.59,59,1.42,33,20,500
15,13.8125,Kicker,CVX152,267-6930,2+2,1000,91.6,17.4,23.7,5.5,0.22,0.41,88,0.75,59,18,500
15,13.8125,Kicker,CVX154,267-6931,4+4,1000,91.6,17.4,23.7,5.5,0.22,0.41,88,0.75,59,18,500
15,14.125,Bravox,PXW15D-2,269-523,2+2,300,89,7.3,23,9.18,0.5,5.17,37,14.4,19,20,2000
4,3.7,Morel,EM 428,287-032,8,150,87,3,68,0.12,0.41,0.04,131,0.11,69,50,5000
6,5.51,Morel,SCM 634,287-036,4,150,89,5.25,49,0.49,0.4,0.17,96,0.42,51,40,5000
5.25,4.75,Dayton Audio,ND140-4,290-216,4,40,85.3,4,54,0.36,0.66,0.78,65,1,34,54,8000
3.5,3.01,Dayton Audio,ND91-4,290-224,4,30,81.3,4.6,63.4,0.05,0.38,0.01,132,0.03,73,65,17000
3.5,3.01,Dayton Audio,ND91-8,290-226,8,30,81.4,5.1,69.6,0.05,0.4,0.02,139,0.04,75,70,17000
8,7.25,Pyramid,WH8,290-260,8,100,89.3,1.2,72.9,0.7,1.2,1.22,66,6.15,40,73,5000
10,9.25,Pyramid,WH10,290-262,8,125,89.3,1.5,74.8,1.12,1.96,0.93,74,,,74,5000
